structure,n_tokens,ada_embedding,Cluster
" Voici une structure générique pour ce TED talk :

Introduction
  - Présenter le sujet
  - Expliquer l'intérêt du sujet
  - Annoncer le plan

Corps du Talk 
  - Présenter le problème/la situation actuelle
  - Détailler les limitations/inconvénients
  - Expliquer la solution proposée
  - Donner des exemples concrets de mise en oeuvre
  - Montrer les bénéfices de cette solution

Conclusion
  - Résumer les points clés
  - Insister sur l'importance d'agir
  - Finir sur une note d'espoir/un appel à l'action",177,"[-0.0053816  -0.00135016  0.00335715 ... -0.02108216 -0.02985265
 -0.02216102]",2
" Voici une proposition de structure générique pour le TED talk :

Introduction
    - Accroche 
    - Présentation du sujet
    - Problématique

Corps du Talk 
    - Solution envisagée
    - Applications concrètes 
    - Evolution vers l'avenir

Conclusion
    - Synthèse
    - Ouverture
    - Message à retenir",117,"[-0.00629914  0.01315777  0.0011005  ... -0.02657278 -0.0224441
 -0.02371743]",2
"Voici la structure sémantique générique proposée pour ce TED Talk :

Introduction
    - Présentation de l'orateur
    - Présentation du sujet
    
Corps du Talk
    - Point 1 sur le sujet
        - Sous-point 1
        - Sous-point 2
        - etc.
    - Point 2 sur le sujet
        - Sous-point 1
        - Sous-point 2
        - etc.
    - Point 3 sur le sujet
        - Sous-point 1
        - Sous-point 2
        - etc.
    
Conclusion 
    - Synthèse des points clés
    - Perspectives futures
    - Message final",245,"[-0.00069456  0.00305007  0.0172681  ... -0.02777912 -0.0330864
 -0.02679533]",3
"Voici une proposition de structure sémantique générique pour ce TED talk :

Introduction
    - Présentation du contexte/sujet
    - Annonce du plan
    
Corps du Talk
    - Récit personnel
        - Situation initiale
        - Événement déclencheur
        - Péripéties
        - Situation finale
    - Enseignements tirés
        - Leçon 1
        - Leçon 2
        - Leçon 3
        
Conclusion
    - Résumé des points clés 
    - Ouverture/perspective

Cette structure pourrait être réutilisée pour écrire un nouveau talk en adaptant les éléments du récit personnel et les enseignements tirés au nouveau contexte, tout en conservant l'introduction pour présenter le sujet et la conclusion pour résumer les idées principales. Le ton et la source d'information influenceraient le style d'écriture mais la structure logique resterait la même.",323,"[ 0.00596233  0.00459157  0.01606571 ... -0.0108958  -0.01067213
 -0.03803624]",0
"Voici la structure générique proposée pour ce TED Talk :

Introduction
  - Présentation du sujet
  - Contexte et problématique

Corps du Talk
  - Explication détaillée du problème
  - Solutions proposées
    - Solution 1
    - Solution 2
    - etc.
  - Exemples concrets
  - Témoignages
  - Données chiffrées
  - Projections futures
  
Conclusion 
  - Résumé des points clés
  - Appel à l'action
  - Message d'espoir",153,"[-0.00090557  0.00990749  0.00266135 ... -0.03064648 -0.02787443
 -0.02242018]",4
"Voici une proposition de structure générique pour le TED talk :

Introduction
  - Présentation du sujet 
  - Présentation de l'intervenant
  - Annonce du plan
  
Corps du Talk
  - Point 1 : Contexte et historique
  - Point 2 : Présentation du projet
  - Point 3 : Démonstration 
  - Point 4 : Perspectives et ambitions
  
Conclusion
  - Résumé des points clés
  - Projection vers l'avenir
  - Message à retenir",135,"[-0.00260817  0.0049328   0.00299319 ... -0.0232109  -0.02480898
 -0.0174114 ]",4
" Voici une proposition de structure sémantique générique pour le texte TED Talk :

Introduction
    - Accroche personnelle 
    - Présentation du problème/sujet
    - Annonce du plan
  
Corps du talk 
    - Explication du problème/sujet 
      - Détails et exemples 
    - Solutions envisagées
      - Recherches et découvertes personnelles 
    - Présentation de la solution trouvée
      - Description 
      - Avantages

Conclusion
    - Résumé 
    - Projection positive dans l'avenir
    - Message à retenir

Cette structure pourrait être réutilisée pour écrire un nouveau talk en remplaçant les éléments spécifiques (problème, solutions, etc.) par les informations fournies sur un nouveau thème, tout en conservant la structure logique de présentation. Les points de l'introduction et de la conclusion resteraient similaires en adaptant le message. Le corps du talk suivrait le plan en trois parties - problème, solutions, solution finale.",331,"[-0.00549528  0.01842081  0.01176455 ... -0.02040736 -0.02385159
 -0.02555435]",0
" Voici une proposition de structure générique pour le TED Talk :

Introduction
    - Présenter le sujet
    - Expliquer l'angle d'approche

Corps du Talk  
    - Présenter le modèle dominant (métaphore baseball)
        - Décrire ses caractéristiques
        - Montrer ses limites
    - Proposer un nouveau modèle (métaphore pizza)
        - Décrire ses caractéristiques
        - Montrer ses avantages
    - Comparer les deux modèles
        - Sur le déclencheur
        - Sur le déroulement
        - Sur les résultats attendus

Conclusion
    - Résumer les limites du modèle dominant 
    - Valoriser le nouveau modèle
    - Appel à changer de modèle

Cette structure permet de présenter un sujet, de critiquer un modèle dominant, de proposer une alternative et de conclure en valorisant le nouveau modèle. Elle peut être réutilisée en changeant le contenu spécifique au talk initial.",353,"[ 0.0023235   0.00572815  0.01191873 ... -0.00127084 -0.03170513
 -0.03227827]",0
" Voici une proposition de structure générique pour le TED talk :

Introduction
    - Présentation du contexte
    - Introduction du problème 

Corps du Talk
    - Présentation de la solution technique 
        - Description détaillée
    - Résultats obtenus
        - Avantages
        - Inconvénients
    - Perspectives d'évolution  

Conclusion
    - Résumé 
    - Messages clés
    - Ouverture",156,"[-0.00252053  0.01774556  0.00892451 ... -0.03272322 -0.01533982
 -0.02443248]",2
"Voici une structure générique possible pour ce TED talk :

Introduction
    - Accroche 
    - Présentation du sujet
    - Annonce du plan

Corps du Talk
    - Point 1 : présentation d'un constat ou d'un problème
    - Point 2 : apport d'éléments concrets illustrant le problème (témoignages, exemples, etc.) 
    - Point 3 : présentation d'une solution ou d'une nouvelle approche 
    - Point 4 : démonstration de l'intérêt de cette solution (bénéfices, résultats, etc.)

Conclusion 
    - Résumé des points clés
    - Ouverture sur de nouvelles perspectives 
    - Message à retenir

Cette structure en introduction, corps du talk et conclusion avec plusieurs points clés dans chaque partie peut être réutilisée pour de nombreux talks. Il suffirait de remplacer le sujet et les contenus spécifiques tout en conservant la structure logique. Le ton et la source des informations influenceront le style mais pas la structure logique du propos.",321,"[-0.00600373  0.00706132  0.00743534 ... -0.02162892 -0.02456952
 -0.02674918]",0
"Voici une proposition de structure générique pour le TED Talk :

Introduction
    - Accroche
    - Présentation du sujet
    - Annonce du plan

Corps du Talk 
    - Argument 1
        - Explication
        - Exemples
    - Argument 2
        - Explication 
        - Exemples
    - Argument 3
        - Explication
        - Exemples

Conclusion
    - Résumé des arguments
    - Conclusion personnelle
    - Ouverture

Cette structure en introduction, corps et conclusion avec des arguments développés pourrait être réutilisée pour écrire un nouveau talk en adaptant le contenu à un autre sujet, tout en conservant la même logique.",239,"[-0.00029846  0.00882312  0.0040026  ... -0.02429255 -0.02381598
 -0.02142021]",0
"Voici une structure générique possible pour ce TED Talk :

Introduction
    - Présentation du sujet
    - Présentation de l'intervenant
    - Annonce du plan

Corps du Talk  
    - Événement déclencheur
      - Date/Lieux
      - Description
    - Conséquences/Impacts
      - Conséquence 1
      - Conséquence 2 
      - etc.
    - Apprentissages
      - Leçon 1 
      - Leçon 2
      - etc.

Conclusion
    - Synthèse
    - Mise en perspective
    - Message à retenir

Cette structure permet de présenter un événement marquant dans la vie de l'intervenant, d'en décrire les conséquences et les leçons apprises, le tout encadré par une introduction qui pose le contexte et une conclusion qui résume les points clés. Elle peut être réutilisée en adaptant les points à différents sujets et intervenants.",315,"[-0.01336916 -0.0070236   0.00887865 ... -0.01505789 -0.01989381
 -0.03270006]",0
" Voici une proposition de structure générique pour ce TED Talk :

Introduction
  - Accroche attentionnelle
  - Présentation du sujet
  - Annonce du plan
  
Corps du Talk
  - Explication du problème/besoin
  - Présentation de la solution proposée
    - Description
    - Avantages
  - Exemples d'applications
  
Conclusion
  - Résumé 
  - Projection dans le futur
  - Message à retenir",132,"[-0.01204816  0.01591895  0.01114454 ... -0.02709553 -0.02249416
 -0.01996918]",2
"Voici la structure sémantique générique du TED talk :

Introduction
    - Accroche 
    - Présentation du sujet
    - Justification de l'intérêt du sujet

Corps du Talk
    - Présentation d'une idée/thème 1
        - Développement 
        - Exemples
        - Transition
    - Présentation d'une idée/thème 2
        - Développement
        - Exemples
        - Transition
    - Présentation d'une idée/thème 3
        - Développement
        - Exemples
        - Transition

Conclusion
    - Résumé des idées principales
    - Conclusion générale
    - Message à retenir",267,"[-0.00785004  0.00441685  0.01654874 ... -0.02612823 -0.0297543
 -0.03016577]",3
"Voici une proposition de structure générique pour le TED Talk :

Introduction
    - Accroche
    - Présentation du sujet
    - Annonce du plan

Corps du Talk
    - Expérience personnelle
        - Anecdote 1
        - Anecdote 2 
        - Anecdote 3
    - Présentation de la technologie
        - Explication
        - Applications
        - Démonstrations
    - Ouverture / Conclusion

Conclusion 
    - Synthèse
    - Ouverture
    - Remerciements

Cette structure permet de présenter d'abord le sujet via une accroche, de capter l'attention de l'auditoire avec des anecdotes personnelles, de présenter le coeur du sujet qui est la technologie, ses applications et démonstrations, pour finir par une synthèse et des remerciements. Le ton est plutôt décontracté et les sources d'information sont les expériences personnelles.

Elle pourrait être réutilisée pour présenter d'autres sujets technologiques de manière vivante et accessible au grand public, en adaptant les anecdotes et démonstrations au thème choisi.",366,"[-0.00541656  0.00068679  0.00778145 ... -0.02104426 -0.01732523
 -0.01750665]",0
" Voici la structure sémantique générique du TED Talk:

Introduction
    - Présentation du contexte
    - Présentation du sujet principal
    
Corps du Talk  
    - Événement déclencheur
    - Conséquences/Impact de l'événement
    - Réflexions et apprentissages
    - Solutions envisagées
    - Mise en application des solutions
    - Résultats obtenus
    
Conclusion
    - Résumé des points clés
    - Conclusions personnelles
    - Message à transmettre",176,"[-0.00965985  0.00461604  0.01732772 ... -0.02201399 -0.0246572
 -0.03879264]",1
"Voici une proposition de structure générique pour le TED Talk :

Introduction
    - Présentation du sujet
    - Présentation du contexte 
    - Annonce du plan

Corps du Talk
    - Point 1 : Présentation du problème/défi
    - Point 2 : Solutions/approches envisagées 
    - Point 3 : La solution retenue
    - Point 4 : Détails de la mise en œuvre
    
Conclusion
    - Résumé des points clés
    - Ouverture sur des perspectives futures",161,"[ 0.00383509  0.00716574  0.001211   ... -0.01734523 -0.02163951
 -0.02141962]",4
" Voici une proposition de structure générique pour ce TED talk :

Introduction
   - Présentation du contexte personnel
   - Annonce du thème

Corps du Talk
   - Présentation d'une expérience personnelle liée au thème
   - Explication de l'impact de cette expérience
   - Présentation d'une autre expérience similaire
   - Explication de l'impact de cette expérience  
   - Présentation d'un exemple concret lié au thème
   - Explication de la signification de cet exemple

Conclusion
   - Synthèse du message
   - Enseignement tiré des expériences présentées
   - Appel à l'émotion

Cette structure permet de présenter un récit personnel structuré autour d'un thème, en utilisant des expériences vécues et des exemples concrets pour appuyer le message. Le ton est informel et émotionnel. Elle pourrait être réutilisée pour d'autres talks en adaptant les expériences et exemples au nouveau thème, tout en conservant la même progression narrative.",322,"[-1.50941825e-02 -6.50826723e-06  4.80007799e-03 ... -1.84839778e-02
 -1.35335978e-02 -3.75052057e-02]",0
" Voici une structure sémantique générique pour ce TED Talk :

Introduction
    - Présenter le sujet
    - Poser une question ou un paradoxe lié au sujet
    
Corps du Talk
    - Présenter l'opinion conventionnelle
    - Apporter des preuves qui contredisent cette opinion
    - Présenter de nouvelles idées/découvertes qui expliquent le paradoxe
    - Détailler ces nouvelles idées
    - Donner des exemples concrets 
    
Conclusion
    - Résumer les idées principales
    - Expliquer les implications plus larges
    - Inspirer le public avec une vision positive",206,"[ 0.00320331  0.00937681  0.0040885  ... -0.01455428 -0.02835215
 -0.02304427]",1
"Voici la structure générique proposée pour ce TED Talk :

Introduction
    - Présentation du sujet
    - Présentation du contexte personnel 
    - Annonce du problème identifié

Corps du Talk
    - Présentation détaillée du problème
    - Explication de la solution proposée
        - Point clé 1
        - Point clé 2
        - Point clé 3
    - Illustration par des exemples concrets
    - Avantages de la solution proposée

Conclusion 
    - Résumé de la solution proposée
    - Appel à l'action
    - Projection positive sur l'impact de la solution",205,"[ 0.00438549  0.01229991  0.01028522 ... -0.02567775 -0.0284624
 -0.02160987]",4
" Voici une structure générique possible pour ce TED talk :

Introduction
    - Accroche
    - Présentation du sujet
    - Annonce du plan

Corps du Talk  
    - Présentation de la situation initiale
        - Contexte historique
        - Profils des personnages principaux
    - Evénement déclencheur
        - La rencontre des personnages
    - Développement
        - Les idées et découvertes des personnages
        - Leurs innovations et impacts sur la science
    - Aboutissement 
        - Leurs réalisations et héritage

Conclusion
    - Résumé des points clés
    - Ouverture sur des perspectives futures
    - Message à retenir",244,"[-0.01469942  0.0029006   0.00845996 ... -0.02185434 -0.02416574
 -0.02343856]",2
"Voici une structure générique pour le TED talk :

Introduction
    - Accroche
    - Présentation du sujet
    - Intérêt du sujet

Corps du Talk
    - Point de vue 1 
    - Arguments soutenant le point de vue 1
        - Argument 1
        - Argument 2 
        - ...
    - Point de vue 2
    - Arguments soutenant le point de vue 2
        - Argument 1
        - Argument 2
        - ...
    - Synthèse et transition

Conclusion 
    - Résumé des idées principales
    - Ouverture sur de nouvelles perspectives
    - Conclusion percutante",227,"[-0.00916022  0.007014    0.01104139 ... -0.02377648 -0.02665965
 -0.02766812]",4
"Voici un plan générique reflétant la structure logique du TED talk :

Introduction
    - Accroche 
    - Contexte/Problématique
    - Annonce du plan

Corps du Talk
    - Point 1 : Explication du problème
    - Point 2 : Solution proposée
    - Point 3 : Mise en œuvre de la solution
    - Point 4 : Résultats/Bénéfices de la solution

Conclusion
    - Résumé des points clés 
    - Projection dans l'avenir
    - Message à retenir",165,"[-0.00772121  0.00532751  0.00325179 ... -0.02040241 -0.02270344
 -0.02454426]",4
" Voici la structure générique proposée pour ce TED talk :

Introduction
    - Présentation du sujet
    - Problématique soulevée

Corps du Talk
    - Eléments contextuels 
    - Développement de la problématique
    - Arguments et exemples
    - Transition

Conclusion
    - Synthèse
    - Constat final
    - Ouverture",122,"[-0.00012484  0.01470004  0.0038948  ... -0.0291415  -0.02821063
 -0.03462331]",2
" Voici une proposition de structure sémantique générique pour ce TED Talk :

Introduction
    - Accroche pour introduire le sujet
    - Présentation du contexte et de l'intérêt du sujet
    - Annonce du plan

Corps du Talk    
    - Présentation du problème/sujet 
    - Explication de la méthode/technologie utilisée pour résoudre le problème
    - Illustration par des exemples concrets 
    - Approfondissement des avantages et bénéfices de la solution

Conclusion
    - Synthèse des points clés
    - Conclusions sur l'impact positif de la solution
    - Projection sur l'avenir et les perspectives futures",214,"[ 0.00257427  0.00843374  0.01534824 ... -0.02282758 -0.02458056
 -0.023334  ]",1
" Voici une proposition de structure générique pour le TED talk :

Introduction
    - Présentation du contexte et de l'objet du talk
    - Annonce du plan
      
Corps du Talk
  - Origine de la passion
    - Découverte de l'objet
    - Apprentissage
    - Développement de la maîtrise
    
  - Présentation de réalisations
    - Exemples concrets de maîtrise
    - Illustration du niveau atteint
    
  - Partage d'émotions
    - Ressenti personnel
    - Enthousiasme, motivation
    - Inspiration du public
  
Conclusion
  - Synthèse 
  - Invitation à l'action 
  - Remerciements",229,"[-0.00679886  0.01097428  0.00845474 ... -0.02051995 -0.01307822
 -0.03168904]",2
"Voici une proposition de structure sémantique générique pour le TED Talk :

Introduction
    - Accroche 
    - Présentation du sujet
    - Annonce du plan

Corps du Talk
    - Thèse principale
    - Arguments soutenant la thèse
        - Argument 1
        - Argument 2 
        - Argument 3
    - Exemples concrets 
    - Témoignages
    - Données chiffrées

Conclusion
    - Reformulation de la thèse
    - Ouverture/perspective
    - Message à retenir",188,"[-0.00170329  0.01040522  0.00908423 ... -0.02442852 -0.03058445
 -0.03032416]",3
"Voici une proposition de structure générique pour le TED Talk :

Introduction
   - Présenter le contexte et le sujet
   - Introduire l'intervenant
   - Annoncer le plan

Corps
   - Thèse principale
   - Preuve/exemple 1
   - Preuve/exemple 2 
   - Preuve/exemple 3
   - Bilan partiel

Corps 
   - Objection principale
   - Réfutation 1
   - Réfutation 2
   - Réfutation 3
   - Bilan partiel
   
Conclusion
   - Résumer les points clés
   - Ouvrir sur des perspectives
   - Conclure de manière percutante",193,"[-0.00188173  0.01286926 -0.00026724 ... -0.02144661 -0.02347012
 -0.02706604]",4
" Voici une proposition de structure générique pour le TED Talk :

Introduction
    - Présenter le contexte / le cadre 
    - Introduire le personnage principal
    - Décrire la situation initiale / le problème rencontré

Corps du Talk 
    - Développer le récit / la chronologie des évènements
    - Détailler les actions et initiatives du personnage principal 
    - Apporter des preuves et des exemples 
    - Montrer l'évolution de la situation

Conclusion
    - Résumer les accomplissements 
    - Souligner l'importance des actes du personnage 
    - Formuler un message général / une leçon à retenir
    - Inspirer l'auditoire / donner matière à réflexion",233,"[-0.00273756  0.00606347  0.00784458 ... -0.01815827 -0.02006154
 -0.02944931]",2
"Voici la structure sémantique générique du TED Talk:

Introduction
    - Présentation de l'orateur
    - Contexte et motivation initiale
    
Corps du Talk  
    - Expériences et projets réalisés
        - Projet 1
            - Contexte
            - Réalisation 
            - Résultats
        - ...
        - Projet n
    - Bilan critique
        - Constats
        - Remise en question
        - Nouvelles motivations
    - Dernier projet en cours
        - Contexte
        - Réalisation
        - Objectifs
        
Conclusion
    - Résumé
    - Perspectives futures
    - Remerciements",288,"[-0.01032     0.00044749  0.01878113 ... -0.02508851 -0.0199862
 -0.0277935 ]",3
"Voici une structure générique pour le TED Talk :

Introduction
  - Accroche 
  - Présentation du sujet
  - Annonce du plan
  
Corps du Talk
  - Point de vue 1
  - Argumentation 
  - Exemples
  - Transition
  - Point de vue 2
  - Argumentation
  - Exemples
  
Conclusion 
  - Résumé des points clés
  - Ouverture/perspective",117,"[-0.00760307  0.00693998  0.00746788 ... -0.02513327 -0.02087143
 -0.02593156]",4
"Voici une proposition de structure générique pour le TED Talk :

Introduction
    - Accroche 
    - Présentation du thème
    - Présentation des points qui seront abordés
    
Corps du Talk
    - Point 1
        - Introduction au point 1
        - Développement du point 1 
        - Conclusion du point 1
    - Point 2
        - Introduction au point 2
        - Développement du point 2
        - Conclusion du point 2
    - ...
    - Point n
        - Introduction au point n
        - Développement du point n
        - Conclusion du point n
        
Conclusion 
    - Résumé des points clés
    - Conclusion générale
    - Ouverture / perspective",268,"[-0.00617713  0.00290325  0.00791974 ... -0.02390226 -0.01979284
 -0.02717939]",4
" Voici la structure sémantique générique du TED Talk :

Introduction
    - Présentation du contexte et de la problématique
    - Annonce de la solution proposée
    
Corps du Talk
    - Récit de l'expérience personnelle liée à la problématique
    - Explication des actions entreprises pour apporter une solution
    - Description des défis rencontrés et des moyens pour les surmonter
    - Illustration de la montée en puissance et des succès du projet
    - Mise en avant de l'impact positif généré
    
Conclusion
    - Résumé des points clés
    - Projection inspirante dans l'avenir
    - Message final d'espoir et d'encouragement",221,"[-0.00334576  0.00504433  0.00552597 ... -0.02125619 -0.02359373
 -0.03537133]",1
" Voici la structure sémantique générique proposée pour ce TED Talk :

Introduction
    - Accroche personnelle 
    - Présentation du sujet
    - Annonce du plan

Corps du Talk
    - Présentation du contexte 
    - Explication du problème
    - Présentation de la solution proposée
        - Avantages
        - Fonctionnement
        - Apports
    - Projection dans le futur

Conclusion
    - Synthèse 
    - Ouverture
    - Message à retenir",181,"[ 0.00144667  0.01902571  0.01523854 ... -0.0267541  -0.02229936
 -0.03314735]",1
" Voici une proposition de structure générique pour le TED talk :

Introduction
    - Présentation du sujet
    - Présentation de l'intervenant
    - Annonce du plan
    
Corps du Talk
    - Élément biographique
    - Description du sujet
    - Expérience personnelle
    - Exemples concrets
    - Données factuelles
    - Explication des conséquences
    - Appel à l'action
    
Conclusion  
    - Résumé des points clés
    - Ouverture vers l'avenir
    - Message à retenir",183,"[-0.01610951  0.01262148  0.00376577 ... -0.02911855 -0.02516545
 -0.02265924]",2
" Voici un plan générique qui décrit la structure logique du TED talk :

Introduction
    - Présenter le sujet
    - Donner le contexte général
    - Annoncer les points qui seront abordés

Corps du Talk 
    - Présenter le premier point clé
        - Donner des preuves/exemples
        - Expliquer l'importance
    - Présenter le deuxième point clé 
        - Donner des preuves/exemples
        - Expliquer l'importance
    - Présenter le troisième point clé
        - Donner des preuves/exemples 
        - Expliquer l'importance

Conclusion
    - Résumer les points clés
    - Donner une perspective globale
    - Terminer sur une note d'espoir/un appel à l'action",273,"[-0.00689141 -0.00334708  0.00652871 ... -0.02563122 -0.02306046
 -0.02608937]",4
" Voici une proposition de structure générique pour ce TED Talk :

Introduction
    - Présentation du sujet
    - Mise en contexte personnelle
    
Corps du Talk
    - Expérience déclencheuse
    - Processus d'apprentissage et d'expérimentation 
    - Découverte majeure
    - Exemples et illustrations
    
Conclusion
    - Conclusion sur le sujet
    - Perspective et ouverture",140,"[-0.00683895  0.01508309  0.00747709 ... -0.02544787 -0.01907946
 -0.02386221]",2
"Voici une structure générique pour ce TED talk :

Introduction
    - Accroche 
    - Présentation du sujet
    - Présentation de la thèse

Corps du Talk
    - Argument 1
        - Explication de l'argument 
        - Preuve/exemple pour étayer l'argument
    - Argument 2  
        - Explication de l'argument
        - Preuve/exemple pour étayer l'argument 
    - Argument 3
        - Explication de l'argument
        - Preuve/exemple pour étayer l'argument

Conclusion 
    - Résumé des arguments principaux
    - Appel à l'action/changement de perspective
    - Ouverture/perspectives

Cette structure permet de présenter une thèse et de la défendre à l'aide d'arguments et d'exemples concrets, avant de conclure en résumant les points clés et en laissant le public avec une nouvelle perspective. Elle peut être réutilisée quel que soit le sujet du talk en adaptant les arguments et exemples au thème choisi.",345,"[-0.00443566  0.00642451  0.0012154  ... -0.02354585 -0.02792707
 -0.02700471]",0
" Introduction
- Présentation du sujet et de l'intervenant
- Explication de l'objectif du talk

Corps du Talk
- Présentation du problème 
- Explication de la solution proposée
- Démonstration pratique de la solution

Conclusion
- Résumé des points clés
- Conclusion sur l'intérêt de la solution présentée",95,"[ 7.83662836e-05  6.10152725e-03  2.75962800e-02 ... -2.57418305e-02
 -3.08642592e-02 -2.02303547e-02]",4
"Voici une proposition de structure générique pour le TED talk :

Introduction
    - Présentation du contexte
    - Présentation du problème
    - Annonce du plan

Corps du talk 
    - Première partie : description du problème
        - Détail 1
        - Détail 2
        - Détail 3
    - Deuxième partie : présentation de la solution proposée 
        - Description de la solution
        - Avantages de la solution
        - Mise en oeuvre de la solution

Conclusion
    - Résumé des points clés 
    - Perspectives futures
    - Message à retenir

Cette structure générique pourrait être réutilisée pour écrire un nouveau talk en remplaçant simplement les éléments spécifiques (problème, solution, etc.) par les informations du nouveau sujet, tout en conservant la structure logique. Le format proposé est assez détaillé pour comprendre la logique du discours, tout en restant suffisamment générique pour s'adapter à de nouveaux contenus.",349,"[-0.00146949  0.0084826   0.00463295 ... -0.02110462 -0.023601
 -0.01970359]",0
"Voici une structure sémantique générique pour le TED talk :

Introduction
    - Présentation du sujet
    - Mise en contexte
    - Problématique

Corps du Talk  
    - Explication détaillée du sujet
        - Point 1
        - Point 2
        - Point 3
    - Analyse du sujet 
        - Point 1
        - Point 2
        - Point 3
    - Solutions proposées
        - Solution 1
        - Solution 2
        - Solution 3

Conclusion
    - Résumé des points clés
    - Ouverture sur de nouvelles perspectives
    - Conclusion personnelle de l'orateur",238,"[ 0.00319317  0.00881432  0.01531691 ... -0.02418935 -0.02287204
 -0.02678522]",3
" Voici une proposition de structure générique pour le TED talk :

Introduction
    - Accroche 
    - Présentation du thème
    - Annonce du plan

Corps du Talk
    - Présentation du contexte/problème
    - Témoignage personnel
    - Solutions proposées
    - Appel à l'action

Conclusion 
    - Résumé des points clés
    - Ouverture/perspective
    - Message final",139,"[-0.009394    0.01276686  0.00390188 ... -0.02423844 -0.0173773
 -0.02282774]",2
"Voici un plan générique représentant la structure logique du TED talk ""High School Training Ground"":

Introduction
    - Présentation du conférencier 
    - Contexte et sujet du talk

Corps du Talk  
    - Présentation de la problématique
        - Description de la situation
        - Témoignages/exemples illustrant la problématique
    - Analyse des causes 
        - Cause 1
        - Cause 2
        - etc.
    - Conséquences
        - Conséquence 1
        - Conséquence 2
        - etc. 

Conclusion
    - Résumé des points clés
    - Message à retenir
    - Ouverture/perspective",247,"[-0.00662387 -0.00332485 -0.00049953 ... -0.02397764 -0.02435209
 -0.02534631]",4
"Voici une structure générique possible pour ce TED talk :

Introduction
    - Accroche
    - Présentation du problème 
    - Annonce du plan

Corps du Talk  
    - Preuve 1 : le problème existe depuis longtemps
    - Preuve 2 : les solutions actuelles ne fonctionnent pas 
    - Appel à l'action : il faut changer de modèle  

Conclusion 
    - Résumé 
    - Message d'espoir",149,"[ 0.00060482  0.00544904 -0.00446065 ... -0.01864365 -0.02671869
 -0.01359191]",4
" Voici une structure sémantique générique pour le TED Talk :

Introduction
    - Contexte personnel 
    - Questionnement initial
    - Problématique soulevée

Corps du Talk
    - Hypothèse formulée 
    - Expérimentation réalisée 
    - Résultats obtenus
    - Théorie développée
    - Implications et applications possibles 

Conclusion
    - Résumé des points clés
    - Ouverture sur de nouvelles perspectives
    - Message à retenir",162,"[-0.00984813  0.01392057  0.01360041 ... -0.02384554 -0.02458832
 -0.03680564]",1
" Voici une structure générique pour le TED talk :

Introduction
    - Accroche
    - Présentation du sujet
    - Transition

Corps du Talk
    - Présentation du problème/situation actuelle
    - Arguments détaillant le problème
    - Transition

Corps du Talk 
    - Présentation de la solution
    - Arguments en faveur de la solution
    - Exemples concrets 
    - Transition

Conclusion
    - Résumé 
    - Projection dans le futur
    - Message final",171,"[-0.00728039  0.01109208  0.0051707  ... -0.02870739 -0.02316782
 -0.03020876]",2
"Voici une structure sémantique générique pour le TED Talk :

Introduction
     - Accroche sur le sujet
     - Présentation du problème ou du sujet
     - Annonce du plan

Corps du Talk  
     - Point de vue 1 et arguments
     - Exemples concrets
     - Point de vue 2 et contre-arguments 
     - Réfutation des contre-arguments
     - Appel à l'action ou à la réflexion

Conclusion
     - Résumé des points clés
     - Ouverture sur des perspectives futures
     - Message final et marquant",188,"[-0.00669123  0.00587103  0.01148272 ... -0.02129263 -0.02673898
 -0.03125167]",3
" Voici une structure générique pour le TED Talk :

Introduction
    - Présentation du sujet
    - Mise en contexte
    - Annonce du plan
  
Corps du Talk
    - Élément déclencheur
    - Développement de la problématique
    - Exemples et preuves
    - Conséquences et enjeux
  
Conclusion    
    - Rappel des points clés
    - Ouverture sur de nouvelles perspectives
    - Appel à l'action",156,"[-0.00707289  0.00869523  0.004649   ... -0.02529055 -0.01981436
 -0.02880456]",2
" Voici une structure générique possible pour ce TED talk:

Introduction
    - Présenter le sujet principal
    - Donner le contexte général
    - Présenter la problématique ou la question centrale

Corps du Talk
    - Présenter l'idée ou le concept central 
    - Donner des exemples concrets pour illustrer
    - Apporter des preuves ou des données pour étayer
    - Expliquer les implications ou les applications possibles  

Conclusion
    - Résumer les points clés
    - Faire le lien avec la problématique initiale
    - Ouvrir sur de nouvelles perspectives
    - Terminer sur une note percutante

Cette structure en introduction, développement et conclusion avec des points clés pour chaque partie peut être réutilisée pour n'importe quel sujet de TED talk. Il suffirait de remplacer le contenu spécifique par le nouveau sujet et les idées associées, tout en conservant la structure logique générique.",300,"[-0.00445504  0.00465566  0.00945143 ... -0.0213485  -0.03021399
 -0.0222911 ]",0
"Voici une proposition de structure sémantique générique pour le TED Talk :

Introduction
    - Présenter le sujet
    - Annoncer les idées reçues/clichés sur le sujet
    - Annoncer que ces idées sont erronées

Corps du Talk
    - Développer la première idée reçue et expliquer pourquoi elle est fausse
    - Développer la deuxième idée reçue et expliquer pourquoi elle est fausse 
    - Développer la troisième idée reçue et expliquer pourquoi elle est fausse
    - Proposer une nouvelle façon de voir le sujet
        - Point de vue 1
        - Point de vue 2
        - Point de vue 3
    - Donner des exemples concrets pour illustrer ce nouveau point de vue

Conclusion
    - Résumer les idées reçues initiales et pourquoi elles sont fausses
    - Réaffirmer le nouveau point de vue proposé
    - Conclure sur une note positive/un appel à l'action",343,"[ 0.00160145  0.00638944  0.01421184 ... -0.01041678 -0.02644763
 -0.02549232]",3
